State,District,Latitude,Longitude
Telangana,Adilabad,19.6667,78.5333
Telangana,Bhadradri Kothagudem,17.55,80.63
Telangana,Hyderabad,17.385,78.4867
Telangana,Jagtial,18.79,78.91
Telangana,Jayashankar Bhupalapally,18.43,79.88
Telangana,Karimnagar,18.4386,79.1288
Telangana,Khammam,17.2473,80.1514
Telangana,Mahabubnagar,16.7375,77.9862
Telangana,Medak,18.045,78.26
Telangana,Nalgonda,17.054,79.267
Telangana,Nizamabad,18.6725,78.0941
Telangana,Rangareddy,17.2403,78.4294
Telangana,Sangareddy,17.6244,78.086
Telangana,Siddipet,18.1018,78.852
Telangana,Suryapet,17.1405,79.62
Telangana,Vikarabad,17.3381,77.9044
Telangana,Warangal,17.9689,79.5941
Telangana,Yadadri Bhuvanagiri,17.515,78.885

Andhra Pradesh	Anantapur	14.6819	77.6006
Andhra Pradesh	Anakapalli	17.69	83.01
Andhra Pradesh	Bapatla	15.9042	80.4675
Andhra Pradesh	Chittoor	13.2172	79.1003
Andhra Pradesh	East Godavari	17.0005	81.804
Andhra Pradesh	Eluru	16.7107	81.0952
Andhra Pradesh	Guntur	16.3067	80.4365
Andhra Pradesh	Kakinada	16.9891	82.2475
Andhra Pradesh	Krishna	16.1875	81.1389
Andhra Pradesh	Kurnool	15.8281	78.0373
Andhra Pradesh	Nandyal	15.4779	78.4836
Andhra Pradesh	Nellore	14.4426	79.9865
Andhra Pradesh	NTR	16.5062	80.648
Andhra Pradesh	Prakasam	15.5057	80.0499
Andhra Pradesh	Srikakulam	18.2969	83.8976
Andhra Pradesh	Sri Sathya Sai	14.1652	77.8117
Andhra Pradesh	Tirupati	13.6288	79.4192
Andhra Pradesh	Visakhapatnam	17.6868	83.2185
Andhra Pradesh	Vizianagaram	18.1067	83.3956
Andhra Pradesh	West Godavari	16.5449	81.5212
Andhra Pradesh	YSR Kadapa	14.4673	78.8242
			
West Bengal	Alipurduar	26.4837	89.5229
West Bengal	Bankura	23.2324	87.0784
West Bengal	Birbhum	23.908	87.535
West Bengal	Cooch Behar	26.3452	89.4482
West Bengal	Darjeeling	27.036	88.2627
West Bengal	Dakshin Dinajpur	25.22	88.78
West Bengal	Hooghly	22.9	88.39
West Bengal	Howrah	22.5958	88.2636
West Bengal	Jalpaiguri	26.5167	88.7333
West Bengal	Jhargram	22.45	86.98
West Bengal	Kalimpong	27.06	88.47
West Bengal	Kolkata	22.5726	88.3639
West Bengal	Malda	25.0108	88.1411
West Bengal	Murshidabad	24.175	88.28
West Bengal	Nadia	23.4	88.5
West Bengal	North 24 Parganas	22.72	88.48
West Bengal	Paschim Bardhaman	23.6739	86.9524
West Bengal	Paschim Medinipur	22.43	87.32
West Bengal	Purba Bardhaman	23.2324	87.8615
West Bengal	Purba Medinipur	22.3	87.92
West Bengal	Purulia	23.3321	86.3652
West Bengal	South 24 Parganas	22.1352	88.4016
			
Delhi	Central Delhi	28.6562	77.241
Delhi	East Delhi	28.6289	77.295
Delhi	New Delhi	28.6139	77.209
Delhi	North Delhi	28.7041	77.1025
Delhi	North East Delhi	28.7306	77.276
Delhi	North West Delhi	28.7335	77.0688
